date,team,score,suf_score,rank,rank_suf,total_points,result,rank_dif,points_by_rank,team_points
2023-03-25,Curaçao,0.0,2.0,86.0,53.0,1279.0,1,33.0,0.0,0
2023-03-25,Bermuda,0.0,2.0,169.0,171.0,977.0,1,-2.0,0.0,0
2023-03-26,England,2.0,0.0,5.0,26.0,1774.0,0,-21.0,0.11538461538461539,3
2023-03-26,Fiji,0.0,2.0,163.0,136.0,989.0,1,27.0,0.0,0
2023-03-26,Macau,0.0,1.0,182.0,160.0,922.0,1,22.0,0.0,0
2023-03-26,Slovenia,2.0,0.0,62.0,211.0,1389.0,0,-149.0,0.014218009478672985,3
2023-03-26,Lesotho,0.0,2.0,147.0,88.0,1061.0,1,59.0,0.0,0
2023-03-26,Malta,0.0,2.0,167.0,8.0,979.0,1,159.0,0.0,0
2023-03-26,Russia,2.0,0.0,37.0,68.0,1491.0,0,-31.0,0.04411764705882353,3
2023-03-26,Kazakhstan,3.0,2.0,115.0,18.0,1163.0,0,97.0,0.16666666666666666,3
2023-03-26,Liechtenstein,0.0,7.0,198.0,63.0,860.0,1,135.0,0.0,0
2023-03-26,Luxembourg,0.0,6.0,92.0,9.0,1245.0,1,83.0,0.0,0
2023-03-26,Puerto Rico,5.0,1.0,170.0,194.0,974.0,0,-24.0,0.015463917525773196,3
2023-03-26,Mexico,2.0,2.0,15.0,64.0,1636.0,2,-49.0,0.015625,1
2023-03-26,Antigua and Barbuda,1.0,2.0,131.0,166.0,1117.0,1,-35.0,0.0,0
2023-03-26,Northern Ireland,0.0,1.0,59.0,56.0,1397.0,1,3.0,0.0,0
2023-03-26,Slovakia,2.0,0.0,54.0,57.0,1426.0,0,-3.0,0.05263157894736842,3
2023-03-27,Greece,0.0,0.0,51.0,144.0,1434.0,2,-93.0,0.006944444444444444,1
2023-03-27,North Macedonia,1.0,0.0,65.0,123.0,1355.0,0,-58.0,0.024390243902439025,3
2023-03-27,Oman,2.0,0.0,75.0,100.0,1321.0,0,-25.0,0.03,3
2023-03-27,Guinea-Bissau,0.0,1.0,118.0,35.0,1159.0,1,83.0,0.0,0
2023-03-27,Angola,1.0,1.0,117.0,58.0,1159.0,2,59.0,0.017241379310344827,1
2023-03-27,Niger,0.0,1.0,122.0,40.0,1149.0,1,82.0,0.0,0
2023-03-27,Netherlands,3.0,0.0,6.0,200.0,1741.0,0,-194.0,0.015,3
2023-03-27,Sudan,1.0,0.0,128.0,79.0,1127.0,0,49.0,0.0379746835443038,3
2023-03-27,Ethiopia,2.0,3.0,138.0,83.0,1091.0,1,55.0,0.0,0
2023-03-27,Central African Republic,2.0,0.0,132.0,102.0,1117.0,0,30.0,0.029411764705882353,3
2023-03-27,Republic of Ireland,0.0,1.0,48.0,3.0,1439.0,1,45.0,0.0,0
2023-03-27,Chile,3.0,2.0,31.0,46.0,1507.0,0,-15.0,0.06521739130434782,3
2023-03-27,Poland,1.0,0.0,22.0,66.0,1560.0,0,-44.0,0.045454545454545456,3
2023-03-27,United States,1.0,0.0,13.0,74.0,1653.0,0,-61.0,0.04054054054054054,3
2023-03-27,Sweden,5.0,0.0,23.0,121.0,1558.0,0,-98.0,0.024793388429752067,3
2023-03-27,Hungary,3.0,0.0,36.0,71.0,1493.0,0,-35.0,0.04225352112676056,3
2023-03-27,Montenegro,0.0,2.0,69.0,29.0,1339.0,1,40.0,0.0,0
2023-03-27,Austria,2.0,1.0,34.0,109.0,1497.0,0,-75.0,0.027522935779816515,3
2023-03-27,Dominican Republic,2.0,0.0,152.0,176.0,1032.0,0,-24.0,0.017045454545454544,3
2023-03-27,Moldova,0.0,0.0,174.0,38.0,959.0,2,136.0,0.02631578947368421,1
2023-03-27,Saint Kitts and Nevis,2.0,0.0,140.0,202.0,1077.0,0,-62.0,0.01485148514851485,3
2023-03-27,Saint Lucia,3.0,1.0,172.0,184.0,965.0,0,-12.0,0.016304347826086956,3
2023-03-27,Saint Vincent and the Grenadines,1.0,1.0,178.0,203.0,945.0,2,-25.0,0.0049261083743842365,1
2023-03-27,Trinidad and Tobago,1.0,1.0,104.0,142.0,1195.0,2,-38.0,0.007042253521126761,1
2023-03-28,Armenia,2.0,2.0,95.0,110.0,1232.0,2,-15.0,0.00909090909090909,1
2023-03-28,Australia,1.0,2.0,27.0,41.0,1534.0,1,-14.0,0.0,0
2023-03-28,Bahrain,1.0,0.0,85.0,90.0,1280.0,0,-5.0,0.03333333333333333,3
2023-03-28,Bangladesh,0.0,1.0,192.0,199.0,884.0,1,-7.0,0.0,0
2023-03-28,Germany,2.0,3.0,14.0,4.0,1647.0,1,10.0,0.0,0
2023-03-28,India,2.0,0.0,106.0,94.0,1192.0,0,12.0,0.031914893617021274,3
2023-03-28,Indonesia,2.0,2.0,151.0,141.0,1034.0,2,10.0,0.0070921985815602835,1
2023-03-28,Namibia,2.0,1.0,113.0,33.0,1164.0,0,80.0,0.09090909090909091,3
2023-03-28,Japan,1.0,2.0,20.0,17.0,1593.0,1,3.0,0.0,0
2023-03-28,Jordan,4.0,0.0,84.0,134.0,1290.0,0,-50.0,0.022388059701492536,3
2023-03-28,United Arab Emirates,2.0,0.0,70.0,111.0,1338.0,0,-41.0,0.02702702702702703,3
2023-03-28,Malaysia,2.0,0.0,145.0,146.0,1067.0,0,-1.0,0.02054794520547945,3
2023-03-28,Morocco,0.0,0.0,11.0,21.0,1672.0,2,-10.0,0.047619047619047616,1
2023-03-28,Nepal,1.0,1.0,175.0,185.0,957.0,2,-10.0,0.005405405405405406,1
2023-03-28,Saudi Arabia,1.0,2.0,49.0,82.0,1438.0,1,-33.0,0.0,0
