home_team,away_team,target,rank_dif,goals_dif,goals_dif_l5,goals_suf_dif,goals_suf_dif_l5,goals_per_ranking_dif,dif_rank_agst,dif_rank_agst_l5,dif_points_rank,dif_points_rank_l5,is_friendly
Mozambique,Senegal,1,95.0,-4.0,-4.0,4.0,4.0,0.008771929824561403,-95.0,-95.0,-0.02631578947368421,-0.02631578947368421,0
Malawi,Egypt,1,85.0,-1.5,-1.5,1.5,1.5,-0.011800027929060188,-8.5,-8.5,-0.021589381720430106,-0.021589381720430106,0
Wales,Latvia,0,-105.0,-1.0,-1.0,-2.0,-2.0,0.10119047619047619,-41.0,-41.0,0.14285714285714285,0.14285714285714285,0
Gambia,Mali,0,81.0,-2.0,-2.0,2.0,2.0,-0.015873015873015872,-81.0,-81.0,-0.023809523809523808,-0.023809523809523808,0
Canada,Honduras,0,-28.0,1.0,1.0,0.0,0.0,0.009742300439974858,12.0,12.0,-0.005656819610307985,-0.005656819610307985,0
Switzerland,Israel,0,-64.0,4.0,4.0,-1.0,-1.0,0.04220059736005395,-10.0,-10.0,0.021582040659023027,0.021582040659023027,0
Romania,Belarus,0,-45.0,2.0,2.0,-5.0,-5.0,0.013071895424836602,141.0,141.0,0.0196078431372549,0.0196078431372549,0
Haiti,Bermuda,0,-82.0,4.0,4.0,-2.0,-2.0,0.0223463687150838,8.0,8.0,0.01675977653631285,0.01675977653631285,0
Guyana,Montserrat,1,-8.0,2.0,2.0,-4.0,-4.0,0.011834319526627219,82.0,82.0,0.01775147928994083,0.01775147928994083,0
Tanzania,Uganda,1,41.0,1.0,1.0,-1.0,-1.0,0.011235955056179775,-41.0,-41.0,0.033707865168539325,0.033707865168539325,0
Kosovo,Andorra,1,-46.0,1.0,1.0,-1.0,-1.0,0.013157894736842105,24.0,24.0,0.013157894736842105,0.013157894736842105,0
Georgia,Norway,1,35.0,6.0,6.0,-2.0,-2.0,0.03278688524590164,173.0,173.0,0.01639344262295082,0.01639344262295082,0
Rwanda,Benin,1,46.0,-0.5,-0.5,0.0,0.0,-0.002932457845918465,-22.5,-22.5,-0.0018047645784872056,-0.0018047645784872056,0
Nepal,Laos,0,-12.0,0.5,0.5,-1.0,-1.0,0.002508960573476702,6.0,6.0,0.002615984968926146,0.002615984968926146,0
United States,Mexico,1,-2.0,0.25,0.25,-0.25,-0.25,0.011012290051951108,-28.25,-28.25,0.010572410697208427,0.010572410697208427,1
Mexico,Guatemala,0,-101.0,0.16666666666666674,0.16666666666666674,0.0,0.0,0.010489920300046885,-46.5,-46.5,0.021324154994472842,0.021324154994472842,1
Luxembourg,Malta,1,-81.0,-0.5,-0.5,1.0,1.0,-0.0136986301369863,-5.0,-5.0,0.009259259259259259,0.009259259259259259,1
Mexico,Cameroon,1,-27.0,0.75,0.75,-0.75,-0.75,0.012234779827273695,-30.0,-30.0,0.030573441164324006,0.030573441164324006,1
Panama,Nicaragua,0,-82.0,-1.8333333333333335,-1.8333333333333335,0.0,0.0,-0.0046586010290641106,-90.0,-90.0,0.02081646184835213,0.02081646184835213,1
Chile,Cuba,0,-134.0,2.0,2.0,2.0,2.0,0.05919329491880566,-120.0,-120.0,0.047145102147721316,0.047145102147721316,1
Guatemala,Trinidad and Tobago,1,12.0,-0.25,-0.25,1.0833333333333333,1.0833333333333333,0.0013339373804490077,-34.25,-34.25,-0.009933845604934745,-0.009933845604934745,1
Uzbekistan,Oman,0,1.0,-1.0,-1.0,-0.7,-0.7,-0.007331284415418107,-22.700000000000003,-22.700000000000003,-0.001816233366960976,-0.001816233366960976,0
Tajikistan,Turkmenistan,1,-28.0,0.5,0.5,0.0,0.0,0.0045871559633027525,-36.0,-36.0,0.007142857142857143,0.007142857142857143,0
Germany,Ukraine,1,-16.0,2.0,2.0,-0.5,-0.5,0.16,7.5,7.5,0.07142857142857142,0.07142857142857142,1
Morocco,Cape Verde,1,-60.0,0.5,0.5,0.5,0.5,0.08741258741258741,-132.0,-132.0,1.5098235098235098,1.5098235098235098,1
Curaçao,Costa Rica,1,49.0,0.0,0.0,3.5,3.5,0.0,-33.5,-33.5,0.0,0.0,1
Togo,Lesotho,0,-21.0,0.0,0.0,-1.5,-1.5,0.004318181818181818,-38.0,-38.0,0.01,0.01,1
DR Congo,Uganda,0,-19.0,1.5,1.5,0.5,0.5,0.015571321882001492,-27.0,-27.0,0.007879014189693799,0.007879014189693799,1
Indonesia,Palestine,1,56.0,-0.33333333333333326,-0.33333333333333326,0.6666666666666667,0.6666666666666667,-0.010301898537192654,41.0,41.0,-0.02583785287164511,-0.02583785287164511,1
Malaysia,Solomon Islands,0,4.0,-1.0,-1.0,1.0,1.0,-0.004579354677650876,-32.83333333333334,-32.83333333333334,-0.004092072975244136,-0.004092072975244136,1
Mozambique,Malawi,1,-8.0,0.16666666666666669,0.16666666666666669,0.6666666666666665,0.6666666666666665,0.022612085769980507,-71.0,-71.0,-0.001736111111111111,-0.001736111111111111,1
Uruguay,Nicaragua,0,-124.0,-0.8333333333333335,-0.8333333333333335,-0.6666666666666667,-0.6666666666666667,0.046078431372549015,-90.83333333333333,-90.83333333333333,0.0761768942667819,0.0761768942667819,1
