rank,country_full,confederation,total_points,rank_date
124,Rwanda,CAF,1136,2024-11-28
123,Estonie,UEFA,1143,2024-11-28
122,Niger,CAF,1146,2024-11-28
121,Zimbabwe,CAF,1151,2024-11-28
120,Guinée-Bissau,CAF,1152,2024-11-28
119,Togo,CAF,1152,2024-11-28
118,Libye,CAF,1158,2024-11-28
128,Congo,CAF,1133,2024-11-28
117,Azerbaïdjan,UEFA,1159,2024-11-28
115,Madagascar,CAF,1162,2024-11-28
114,Corée du Nord,AFC,1164,2024-11-28
113,Soudan,CAF,1165,2024-11-28
112,Liban,AFC,1168,2024-11-28
111,Namibie,CAF,1179,2024-11-28
110,Kazakhstan,UEFA,1180,2024-11-28
109,Mauritanie,CAF,1183,2024-11-28
108,Kenya,CAF,1190,2024-11-28
107,Kirghizistan,AFC,1194,2024-11-28
106,Tanzanie,CAF,1199,2024-11-28
116,Viêt Nam,AFC,1161,2024-11-28
129,Sierra Leone,CAF,1132,2024-11-28
130,Chypre,UEFA,1131,2024-11-28
131,Malawi,CAF,1129,2024-11-28
154,Guyana,CONCACAF,1031,2024-11-28
153,Tahiti,OFC,1031,2024-11-28
152,N. Calédonie,OFC,1034,2024-11-28
151,Moldavie,UEFA,1046,2024-11-28
150,Lesotho,CAF,1047,2024-11-28
149,Philippines,AFC,1048,2024-11-28
148,Salomon,OFC,1049,2024-11-28
147,Fidji,OFC,1049,2024-11-28
146,Éthiopie,CAF,1060,2024-11-28
145,Libéria,CAF,1063,2024-11-28
144,St. Kitts/Nevis,CONCACAF,1065,2024-11-28
143,Turkménistan,AFC,1065,2024-11-28
142,Lituanie,UEFA,1070,2024-11-28
141,R. dominicaine,CONCACAF,1083,2024-11-28
140,Lettonie,UEFA,1084,2024-11-28
139,Burundi,CAF,1087,2024-11-28
138,Suriname,CONCACAF,1097,2024-11-28
137,Îles Féroé,UEFA,1097,2024-11-28
136,Botswana,CAF,1099,2024-11-28
135,Centrafrique,CAF,1102,2024-11-28
134,Koweït,AFC,1109,2024-11-28
133,Nicaragua,CONCACAF,1114,2024-11-28
132,Malaisie,AFC,1117,2024-11-28
104,Tadjikistan,AFC,1203,2024-11-28
210,Saint-Marin,UEFA,747,2024-12-19
104,Tadjikistan,AFC,1203,2024-12-19
208,Vierges a.,CONCACAF,780,2024-12-19
75,Honduras,CONCACAF,1326,2024-12-19
74,Bosnie,UEFA,1327,2024-12-19
73,Monténégro,UEFA,1327,2024-12-19
72,Cap-Vert,CAF,1329,2024-12-19
71,Irlande du Nord,UEFA,1350,2024-12-19
70,Islande,UEFA,1355,2024-12-19
69,Finlande,UEFA,1362,2024-12-19
68,Géorgie,UEFA,1362,2024-12-19
67,Macédoine Nord,UEFA,1369,2024-12-19
66,Burkina Faso,CAF,1374,2024-12-19
76,Israël,UEFA,1322,2024-12-19
65,Albanie,UEFA,1376,2024-12-19
63,ÉAU,AFC,1386,2024-12-19
62,Jamaïque,CONCACAF,1391,2024-12-19
61,RD Congo,CAF,1396,2024-12-19
60,Irlande,UEFA,1400,2024-12-19
59,Arabie saoudite,AFC,1407,2024-12-19
58,Ouzbékistan,AFC,1425,2024-12-19
57,Afrique du Sud,CAF,1429,2024-12-19
56,Irak,AFC,1443,2024-12-19
55,Slovénie,UEFA,1454,2024-12-19
54,Costa Rica,CONCACAF,1455,2024-12-19
64,Jordanie,AFC,1376,2024-12-19
53,Paraguay,CONMEBOL,1458,2024-12-19
77,Ghana,CAF,1321,2024-12-19
79,Bolivie,CONMEBOL,1309,2024-12-19
101,Palestine,AFC,1216,2024-12-19
100,Arménie,UEFA,1219,2024-12-19
99,Kosovo,UEFA,1220,2024-12-19
98,Biélorussie,UEFA,1226,2024-12-19
97,Thaïlande,AFC,1231,2024-12-19
96,Mozambique,CAF,1233,2024-12-19
95,Syrie,AFC,1249,2024-12-19
94,Bénin,CAF,1251,2024-12-19
93,Guinée équat.,CAF,1256,2024-12-19
92,Luxembourg,UEFA,1256,2024-12-19
78,Guinée,CAF,1312,2024-12-19
91,Curaçao,CONCACAF,1265,2024-12-19
89,N. Zélande,OFC,1270,2024-12-19
88,Ouganda,CAF,1270,2024-12-19
87,Zambie,CAF,1279,2024-12-19
86,Haïti,CONCACAF,1288,2024-12-19
85,Angola,CAF,1296,2024-12-19
84,Gabon,CAF,1298,2024-12-19
83,El Salvador,CONCACAF,1301,2024-12-19
82,Bulgarie,UEFA,1301,2024-12-19
81,Bahreïn,AFC,1306,2024-12-19
80,Oman,AFC,1307,2024-12-19
90,Chine,AFC,1266,2024-12-19
52,Tunisie,CAF,1464,2024-12-19
51,Mali,CAF,1466,2024-12-19
50,Chili,CONMEBOL,1469,2024-12-19
22,Autriche,UEFA,1590,2024-12-19
21,Danemark,UEFA,1611,2024-12-19
20,Suisse,UEFA,1625,2024-12-19
19,Mexique,CONCACAF,1627,2024-12-19
18,Iran,AFC,1635,2024-12-19
17,Sénégal,CAF,1637,2024-12-19
16,États-Unis,CONCACAF,1645,2024-12-19
15,Japon,AFC,1653,2024-12-19
14,Maroc,CAF,1688,2024-12-19
13,Croatie,UEFA,1692,2024-12-19
23,Corée du Sud,AFC,1585,2024-12-19
12,Colombie,CONMEBOL,1694,2024-12-19
10,Allemagne,UEFA,1704,2024-12-19
9,Italie,UEFA,1732,2024-12-19
8,Belgique,UEFA,1741,2024-12-19
7,Pays-Bas,UEFA,1748,2024-12-19
6,Portugal,UEFA,1756,2024-12-19
5,Brésil,CONMEBOL,1776,2024-12-19
4,Angleterre,UEFA,1814,2024-12-19
3,Espagne,UEFA,1853,2024-12-19
2,France,UEFA,1860,2024-12-19
1,Argentine,CONMEBOL,1867,2024-12-19
11,Uruguay,CONMEBOL,1696,2024-12-19
24,Équateur,CONMEBOL,1560,2024-12-19
25,Ukraine,UEFA,1555,2024-12-19
26,Australie,AFC,1544,2024-12-19
49,Cameroun,CAF,1471,2024-12-19
48,Qatar,AFC,1475,2024-12-19
47,Venezuela,CONMEBOL,1476,2024-12-19
46,Côte d'Ivoire,CAF,1478,2024-12-19
45,Écosse,UEFA,1480,2024-12-19
44,Nigéria,CAF,1482,2024-12-19
43,Norvège,UEFA,1484,2024-12-19
42,Tchéquie,UEFA,1485,2024-12-19
41,Slovaquie,UEFA,1486,2024-12-19
40,Pérou,CONMEBOL,1488,2024-12-19
39,Grèce,UEFA,1490,2024-12-19
38,Roumanie,UEFA,1494,2024-12-19
37,Algérie,CAF,1496,2024-12-19
36,Panama,CONCACAF,1504,2024-12-19
35,Pologne,UEFA,1511,2024-12-19
34,Russie,UEFA,1512,2024-12-19
33,Égypte,CAF,1513,2024-12-19
32,Serbie,UEFA,1514,2024-12-19
31,Canada,CONCACAF,1516,2024-12-19
30,Hongrie,UEFA,1518,2024-12-19
29,Pays de Galles,UEFA,1534,2024-12-19
28,Turquie,UEFA,1537,2024-12-19
27,Suède,UEFA,1540,2024-12-19
102,Trinité,CONCACAF,1215,2024-12-19
209,Anguilla,CONCACAF,769,2024-12-19
103,Comores,CAF,1209,2024-12-19
106,Tanzanie,CAF,1199,2024-12-19
181,Montserrat,CONCACAF,914,2024-12-19
180,Cambodge,AFC,920,2024-12-19
179,Maurice,CAF,923,2024-12-19
178,Belize,CONCACAF,925,2024-12-19
177,Barbade,CONCACAF,933,2024-12-19
176,Tchad,CAF,935,2024-12-19
175,Népal,AFC,939,2024-12-19
174,Grenade,CONCACAF,955,2024-12-19
173,St. Vincent,CONCACAF,962,2024-12-19
172,Papoua.N.Guinée,OFC,964,2024-12-19
182,Bhoutan,AFC,904,2024-12-19
171,Andorre,UEFA,972,2024-12-19
169,Myanmar,AFC,981,2024-12-19
168,Malte,UEFA,984,2024-12-19
167,Sainte-Lucie,CONCACAF,986,2024-12-19
166,Bermudes,CONCACAF,988,2024-12-19
165,Taipei Chinois,AFC,991,2024-12-19
164,Vanuatu,OFC,994,2024-12-19
163,Cuba,CONCACAF,994,2024-12-19
162,Maldives,AFC,1001,2024-12-19
161,Antigua-et-Bar.,CONCACAF,1011,2024-12-19
160,Singapour,AFC,1012,2024-12-19
170,Soudan du Sud,CAF,974,2024-12-19
159,Eswatini,CAF,1015,2024-12-19
183,Dominique,CONCACAF,900,2024-12-19
185,Bangladesh,AFC,899,2024-12-19
207,Vierges b.,CONCACAF,780,2024-12-19
206,Turques-Caïques,CONCACAF,804,2024-12-19
205,Bahamas,CONCACAF,819,2024-12-19
204,Liechtenstein,UEFA,822,2024-12-19
203,Guam,AFC,825,2024-12-19
202,Somalie,CAF,830,2024-12-19
201,Seychelles,CAF,831,2024-12-19
200,Sri Lanka,AFC,833,2024-12-19
199,Tonga,OFC,836,2024-12-19
198,Pakistan,AFC,843,2024-12-19
184,Brunei,AFC,900,2024-12-19
197,Timor-Leste,AFC,847,2024-12-19
195,Aruba,CONCACAF,858,2024-12-19
194,Îles Caïmans,CONCACAF,867,2024-12-19
193,Macao,AFC,869,2024-12-19
192,Samoa,OFC,876,2024-12-19
191,Djibouti,CAF,877,2024-12-19
190,Îles Cook,OFC,878,2024-12-19
189,São Tomé-et-P.,CAF,878,2024-12-19
188,Mongolie,AFC,880,2024-12-19
187,Samoa a.,OFC,883,2024-12-19
186,Laos,AFC,890,2024-12-19
196,Gibraltar,UEFA,849,2024-12-19
158,Yémen,AFC,1018,2024-12-19
157,Porto Rico,CONCACAF,1023,2024-12-19
156,Afghanistan,AFC,1025,2024-12-19
128,Congo,CAF,1133,2024-12-19
127,Indonésie,AFC,1133,2024-12-19
126,Inde,AFC,1134,2024-12-19
125,Gambie,CAF,1135,2024-12-19
124,Rwanda,CAF,1136,2024-12-19
123,Estonie,UEFA,1143,2024-12-19
122,Niger,CAF,1146,2024-12-19
121,Zimbabwe,CAF,1151,2024-12-19
120,Guinée-Bissau,CAF,1152,2024-12-19
119,Togo,CAF,1152,2024-12-19
129,Sierra Leone,CAF,1132,2024-12-19
118,Libye,CAF,1158,2024-12-19
116,Madagascar,CAF,1162,2024-12-19
115,Corée du Nord,AFC,1164,2024-12-19
114,Viêt Nam,AFC,1165,2024-12-19
113,Soudan,CAF,1165,2024-12-19
112,Liban,AFC,1171,2024-12-19
111,Namibie,CAF,1179,2024-12-19
110,Kazakhstan,UEFA,1180,2024-12-19
109,Mauritanie,CAF,1183,2024-12-19
108,Kenya,CAF,1190,2024-12-19
107,Kirghizistan,AFC,1194,2024-12-19
117,Azerbaïdjan,UEFA,1159,2024-12-19
130,Chypre,UEFA,1131,2024-12-19
131,Malawi,CAF,1129,2024-12-19
132,Malaisie,AFC,1116,2024-12-19
155,Hong Kong,AFC,1029,2024-12-19
154,Guyana,CONCACAF,1031,2024-12-19
153,Tahiti,OFC,1031,2024-12-19
152,N. Calédonie,OFC,1034,2024-12-19
151,Moldavie,UEFA,1046,2024-12-19
150,Philippines,AFC,1047,2024-12-19
149,Lesotho,CAF,1047,2024-12-19
148,Fidji,OFC,1048,2024-12-19
147,Salomon,OFC,1051,2024-12-19
146,Éthiopie,CAF,1060,2024-12-19
145,Libéria,CAF,1063,2024-12-19
144,St. Kitts/Nevis,CONCACAF,1065,2024-12-19
143,Turkménistan,AFC,1065,2024-12-19
142,Lituanie,UEFA,1070,2024-12-19
141,R. dominicaine,CONCACAF,1083,2024-12-19
140,Lettonie,UEFA,1084,2024-12-19
139,Burundi,CAF,1087,2024-12-19
138,Suriname,CONCACAF,1097,2024-12-19
137,Îles Féroé,UEFA,1097,2024-12-19
136,Botswana,CAF,1099,2024-12-19
135,Centrafrique,CAF,1102,2024-12-19
134,Koweït,AFC,1109,2024-12-19
133,Nicaragua,CONCACAF,1114,2024-12-19
105,Guatémala,CONCACAF,1201,2024-12-19
210,Saint-Marin,UEFA,747,2025-01-20
102,Trinité,CONCACAF,1215,2025-01-20
208,Vierges a.,CONCACAF,780,2025-01-20
76,Israël,UEFA,1322,2025-01-20
75,Honduras,CONCACAF,1326,2025-01-20
74,Bosnie,UEFA,1327,2025-01-20
73,Monténégro,UEFA,1327,2025-01-20
72,Cap-Vert,CAF,1329,2025-01-20
71,Irlande du Nord,UEFA,1350,2025-01-20
70,Islande,UEFA,1355,2025-01-20
69,Finlande,UEFA,1362,2025-01-20
68,Géorgie,UEFA,1362,2025-01-20
67,Macédoine Nord,UEFA,1369,2025-01-20
77,Ghana,CAF,1321,2025-01-20
66,Burkina Faso,CAF,1374,2025-01-20
64,Jordanie,AFC,1376,2025-01-20
63,ÉAU,AFC,1386,2025-01-20
62,Jamaïque,CONCACAF,1391,2025-01-20
61,RD Congo,CAF,1396,2025-01-20
60,Irlande,UEFA,1400,2025-01-20
59,Arabie saoudite,AFC,1407,2025-01-20
58,Ouzbékistan,AFC,1425,2025-01-20
57,Afrique du Sud,CAF,1429,2025-01-20
56,Irak,AFC,1443,2025-01-20
55,Slovénie,UEFA,1454,2025-01-20
65,Albanie,UEFA,1376,2025-01-20
54,Costa Rica,CONCACAF,1455,2025-01-20
78,Guinée,CAF,1312,2025-01-20
80,Oman,AFC,1307,2025-01-20
103,Comores,CAF,1209,2025-01-20
101,Palestine,AFC,1216,2025-01-20
100,Arménie,UEFA,1219,2025-01-20
99,Kosovo,UEFA,1220,2025-01-20
98,Biélorussie,UEFA,1226,2025-01-20
97,Thaïlande,AFC,1231,2025-01-20
96,Mozambique,CAF,1233,2025-01-20
95,Syrie,AFC,1249,2025-01-20
94,Bénin,CAF,1251,2025-01-20
93,Guinée équat.,CAF,1256,2025-01-20
79,Bolivie,CONMEBOL,1309,2025-01-20
92,Luxembourg,UEFA,1256,2025-01-20
90,Chine,AFC,1266,2025-01-20
89,N. Zélande,OFC,1270,2025-01-20
88,Ouganda,CAF,1270,2025-01-20
87,Zambie,CAF,1279,2025-01-20
86,Haïti,CONCACAF,1288,2025-01-20
85,Angola,CAF,1296,2025-01-20
84,Gabon,CAF,1298,2025-01-20
83,El Salvador,CONCACAF,1301,2025-01-20
82,Bulgarie,UEFA,1301,2025-01-20
81,Bahreïn,AFC,1306,2025-01-20
91,Curaçao,CONCACAF,1265,2025-01-20
104,Tadjikistan,AFC,1203,2025-01-20
53,Paraguay,CONMEBOL,1458,2025-01-20
51,Mali,CAF,1466,2025-01-20
24,Équateur,CONMEBOL,1560,2025-01-20
23,Corée du Sud,AFC,1585,2025-01-20
22,Autriche,UEFA,1590,2025-01-20
21,Danemark,UEFA,1611,2025-01-20
20,Suisse,UEFA,1625,2025-01-20
19,Mexique,CONCACAF,1627,2025-01-20
18,Iran,AFC,1635,2025-01-20
17,Sénégal,CAF,1637,2025-01-20
16,États-Unis,CONCACAF,1645,2025-01-20
15,Japon,AFC,1653,2025-01-20
25,Ukraine,UEFA,1555,2025-01-20
14,Maroc,CAF,1688,2025-01-20
12,Colombie,CONMEBOL,1694,2025-01-20
11,Uruguay,CONMEBOL,1696,2025-01-20
10,Allemagne,UEFA,1704,2025-01-20
9,Italie,UEFA,1732,2025-01-20
8,Belgique,UEFA,1741,2025-01-20
7,Pays-Bas,UEFA,1748,2025-01-20
6,Portugal,UEFA,1756,2025-01-20
5,Brésil,CONMEBOL,1776,2025-01-20
4,Angleterre,UEFA,1814,2025-01-20
3,Espagne,UEFA,1853,2025-01-20
13,Croatie,UEFA,1692,2025-01-20
52,Tunisie,CAF,1464,2025-01-20
26,Australie,AFC,1544,2025-01-20
28,Turquie,UEFA,1537,2025-01-20
50,Chili,CONMEBOL,1469,2025-01-20
49,Cameroun,CAF,1471,2025-01-20
48,Qatar,AFC,1475,2025-01-20
47,Venezuela,CONMEBOL,1476,2025-01-20
46,Côte d'Ivoire,CAF,1478,2025-01-20
45,Écosse,UEFA,1480,2025-01-20
44,Nigéria,CAF,1482,2025-01-20
43,Norvège,UEFA,1484,2025-01-20
42,Tchéquie,UEFA,1485,2025-01-20
41,Slovaquie,UEFA,1486,2025-01-20
27,Suède,UEFA,1540,2025-01-20
40,Pérou,CONMEBOL,1488,2025-01-20
38,Roumanie,UEFA,1494,2025-01-20
37,Algérie,CAF,1496,2025-01-20
36,Panama,CONCACAF,1504,2025-01-20
35,Pologne,UEFA,1511,2025-01-20
34,Russie,UEFA,1512,2025-01-20
33,Égypte,CAF,1513,2025-01-20
32,Serbie,UEFA,1514,2025-01-20
31,Canada,CONCACAF,1516,2025-01-20
30,Hongrie,UEFA,1518,2025-01-20
29,Pays de Galles,UEFA,1534,2025-01-20
39,Grèce,UEFA,1490,2025-01-20
2,France,UEFA,1860,2025-01-20
105,Guatémala,CONCACAF,1201,2025-01-20
107,Kirghizistan,AFC,1194,2025-01-20
181,Montserrat,CONCACAF,914,2025-01-20
180,Cambodge,AFC,920,2025-01-20
179,Maurice,CAF,923,2025-01-20
178,Belize,CONCACAF,925,2025-01-20
177,Barbade,CONCACAF,933,2025-01-20
176,Tchad,CAF,935,2025-01-20
175,Népal,AFC,939,2025-01-20
174,Grenade,CONCACAF,955,2025-01-20
173,St. Vincent,CONCACAF,962,2025-01-20
172,Papoua.N.Guinée,OFC,964,2025-01-20
182,Bhoutan,AFC,904,2025-01-20
171,Andorre,UEFA,972,2025-01-20
169,Myanmar,AFC,981,2025-01-20
168,Malte,UEFA,984,2025-01-20
167,Sainte-Lucie,CONCACAF,986,2025-01-20
166,Bermudes,CONCACAF,988,2025-01-20
165,Taipei Chinois,AFC,991,2025-01-20
164,Vanuatu,OFC,994,2025-01-20
163,Cuba,CONCACAF,994,2025-01-20
162,Maldives,AFC,1001,2025-01-20
161,Antigua-et-Bar.,CONCACAF,1011,2025-01-20
160,Singapour,AFC,1012,2025-01-20
170,Soudan du Sud,CAF,974,2025-01-20
159,Eswatini,CAF,1015,2025-01-20
183,Dominique,CONCACAF,900,2025-01-20
185,Bangladesh,AFC,899,2025-01-20
209,Anguilla,CONCACAF,769,2025-01-20
206,Turques-Caïques,CONCACAF,804,2025-01-20
205,Bahamas,CONCACAF,819,2025-01-20
204,Liechtenstein,UEFA,822,2025-01-20
203,Guam,AFC,825,2025-01-20
202,Somalie,CAF,830,2025-01-20
201,Seychelles,CAF,831,2025-01-20
200,Sri Lanka,AFC,833,2025-01-20
199,Tonga,OFC,836,2025-01-20
198,Pakistan,AFC,843,2025-01-20
184,Brunei,AFC,900,2025-01-20
197,Timor-Leste,AFC,847,2025-01-20
195,Aruba,CONCACAF,858,2025-01-20
194,Îles Caïmans,CONCACAF,867,2025-01-20
193,Macao,AFC,869,2025-01-20
192,Samoa,OFC,876,2025-01-20
191,Djibouti,CAF,877,2025-01-20
190,Îles Cook,OFC,878,2025-01-20
189,São Tomé-et-P.,CAF,878,2025-01-20
188,Mongolie,AFC,880,2025-01-20
187,Samoa a.,OFC,883,2025-01-20
186,Laos,AFC,890,2025-01-20
196,Gibraltar,UEFA,849,2025-01-20
106,Tanzanie,CAF,1199,2025-01-20
158,Yémen,AFC,1018,2025-01-20
156,Afghanistan,AFC,1025,2025-01-20
129,Sierra Leone,CAF,1132,2025-01-20
128,Congo,CAF,1133,2025-01-20
127,Indonésie,AFC,1133,2025-01-20
126,Inde,AFC,1134,2025-01-20
125,Gambie,CAF,1135,2025-01-20
124,Rwanda,CAF,1136,2025-01-20
123,Estonie,UEFA,1143,2025-01-20
122,Niger,CAF,1146,2025-01-20
121,Zimbabwe,CAF,1151,2025-01-20
120,Guinée-Bissau,CAF,1152,2025-01-20
130,Chypre,UEFA,1131,2025-01-20
119,Togo,CAF,1152,2025-01-20
117,Azerbaïdjan,UEFA,1159,2025-01-20
116,Madagascar,CAF,1162,2025-01-20
115,Corée du Nord,AFC,1164,2025-01-20
114,Viêt Nam,AFC,1165,2025-01-20
113,Soudan,CAF,1165,2025-01-20
112,Liban,AFC,1171,2025-01-20
111,Namibie,CAF,1179,2025-01-20
110,Kazakhstan,UEFA,1180,2025-01-20
109,Mauritanie,CAF,1183,2025-01-20
108,Kenya,CAF,1190,2025-01-20
118,Libye,CAF,1158,2025-01-20
157,Porto Rico,CONCACAF,1023,2025-01-20
131,Malawi,CAF,1129,2025-01-20
133,Nicaragua,CONCACAF,1114,2025-01-20
155,Hong Kong,AFC,1029,2025-01-20
154,Guyana,CONCACAF,1031,2025-01-20
153,Tahiti,OFC,1031,2025-01-20
152,N. Calédonie,OFC,1034,2025-01-20
151,Moldavie,UEFA,1046,2025-01-20
150,Philippines,AFC,1047,2025-01-20
149,Lesotho,CAF,1047,2025-01-20
148,Fidji,OFC,1048,2025-01-20
147,Salomon,OFC,1051,2025-01-20
146,Éthiopie,CAF,1060,2025-01-20
132,Malaisie,AFC,1116,2025-01-20
145,Libéria,CAF,1063,2025-01-20
143,Turkménistan,AFC,1065,2025-01-20
142,Lituanie,UEFA,1070,2025-01-20
141,R. dominicaine,CONCACAF,1083,2025-01-20
140,Lettonie,UEFA,1084,2025-01-20
139,Burundi,CAF,1087,2025-01-20
138,Suriname,CONCACAF,1097,2025-01-20
137,Îles Féroé,UEFA,1097,2025-01-20
136,Botswana,CAF,1099,2025-01-20
135,Centrafrique,CAF,1102,2025-01-20
134,Koweït,AFC,1109,2025-01-20
144,St. Kitts/Nevis,CONCACAF,1065,2025-01-20
1,Argentine,CONMEBOL,1867,2025-01-20
207,Vierges b.,CONCACAF,780,2025-01-20
208,Vierges a.,CONCACAF,780,2025-04-03
132,Malawi,CAF,1118,2025-04-03
133,Nicaragua,CONCACAF,1114,2025-04-03
134,Koweït,AFC,1112,2025-04-03
135,Centrafrique,CAF,1102,2025-04-03
136,Botswana,CAF,1101,2025-04-03
137,Suriname,CONCACAF,1097,2025-04-03
138,Lettonie,UEFA,1092,2025-04-03
139,R. dominicaine,CONCACAF,1087,2025-04-03
140,Burundi,CAF,1086,2025-04-03
141,Îles Féroé,UEFA,1085,2025-04-03
131,Malaisie,AFC,1124,2025-04-03
142,Turkménistan,AFC,1076,2025-04-03
144,Libéria,CAF,1068,2025-04-03
145,St. Kitts/Nevis,CONCACAF,1065,2025-04-03
146,Philippines,AFC,1063,2025-04-03
147,Éthiopie,CAF,1061,2025-04-03
148,Lesotho,CAF,1046,2025-04-03
149,Salomon,OFC,1046,2025-04-03
150,Fidji,OFC,1043,2025-04-03
151,N. Calédonie,OFC,1040,2025-04-03
152,Guyana,CONCACAF,1038,2025-04-03
153,Hong Kong,AFC,1033,2025-04-03
143,Lituanie,UEFA,1073,2025-04-03
154,Moldavie,UEFA,1031,2025-04-03
130,Rwanda,CAF,1127,2025-04-03
128,Guinée-Bissau,CAF,1128,2025-04-03
106,Guatémala,CONCACAF,1197,2025-04-03
107,Tanzanie,CAF,1196,2025-04-03
108,Namibie,CAF,1192,2025-04-03
109,Viêt Nam,AFC,1184,2025-04-03
110,Mauritanie,CAF,1180,2025-04-03
111,Kenya,CAF,1179,2025-04-03
112,Liban,AFC,1178,2025-04-03
113,Kazakhstan,UEFA,1178,2025-04-03
114,Soudan,CAF,1174,2025-04-03
115,Madagascar,CAF,1163,2025-04-03
129,Chypre,UEFA,1128,2025-04-03
116,Zimbabwe,CAF,1161,2025-04-03
118,Corée du Nord,AFC,1153,2025-04-03
119,Azerbaïdjan,UEFA,1151,2025-04-03
120,Togo,CAF,1149,2025-04-03
121,Estonie,UEFA,1144,2025-04-03
122,Niger,CAF,1143,2025-04-03
123,Indonésie,AFC,1143,2025-04-03
124,Sierra Leone,CAF,1140,2025-04-03
125,Congo,CAF,1136,2025-04-03
126,Gambie,CAF,1133,2025-04-03
127,Inde,AFC,1132,2025-04-03
117,Libye,CAF,1155,2025-04-03
155,Eswatini,CAF,1023,2025-04-03
156,Tahiti,OFC,1019,2025-04-03
157,Porto Rico,CONCACAF,1019,2025-04-03
185,Brunei,AFC,893,2025-04-03
186,Samoa a.,OFC,883,2025-04-03
187,Mongolie,AFC,880,2025-04-03
188,Îles Cook,OFC,878,2025-04-03
189,Samoa,OFC,876,2025-04-03
190,Laos,AFC,876,2025-04-03
191,Îles Caïmans,CONCACAF,867,2025-04-03
192,Djibouti,CAF,866,2025-04-03
193,Macao,AFC,865,2025-04-03
194,São Tomé-et-P.,CAF,865,2025-04-03
184,Dominique,CONCACAF,900,2025-04-03
195,Aruba,CONCACAF,864,2025-04-03
197,Timor-Leste,AFC,840,2025-04-03
198,Pakistan,AFC,838,2025-04-03
199,Tonga,OFC,836,2025-04-03
200,Sri Lanka,AFC,834,2025-04-03
201,Somalie,CAF,832,2025-04-03
202,Guam,AFC,823,2025-04-03
203,Seychelles,CAF,821,2025-04-03
204,Bahamas,CONCACAF,819,2025-04-03
205,Liechtenstein,UEFA,814,2025-04-03
206,Turques-Caïques,CONCACAF,804,2025-04-03
196,Gibraltar,UEFA,843,2025-04-03
183,Bangladesh,AFC,904,2025-04-03
182,Bhoutan,AFC,907,2025-04-03
181,Cambodge,AFC,913,2025-04-03
158,Yémen,AFC,1018,2025-04-03
159,Antigua-et-Bar.,CONCACAF,1011,2025-04-03
160,Afghanistan,AFC,1008,2025-04-03
161,Singapour,AFC,1002,2025-04-03
162,Myanmar,AFC,995,2025-04-03
163,Vanuatu,OFC,992,2025-04-03
164,Maldives,AFC,986,2025-04-03
165,Sainte-Lucie,CONCACAF,986,2025-04-03
166,Taipei Chinois,AFC,980,2025-04-03
167,Cuba,CONCACAF,980,2025-04-03
168,Bermudes,CONCACAF,978,2025-04-03
169,Malte,UEFA,976,2025-04-03
170,Soudan du Sud,CAF,976,2025-04-03
171,Papoua.N.Guinée,OFC,969,2025-04-03
172,St. Vincent,CONCACAF,966,2025-04-03
173,Andorre,UEFA,957,2025-04-03
174,Grenade,CONCACAF,954,2025-04-03
175,Népal,AFC,936,2025-04-03
176,Barbade,CONCACAF,933,2025-04-03
177,Tchad,CAF,925,2025-04-03
178,Maurice,CAF,922,2025-04-03
179,Belize,CONCACAF,919,2025-04-03
180,Montserrat,CONCACAF,914,2025-04-03
105,Comores,CAF,1203,2025-04-03
104,Tadjikistan,AFC,1203,2025-04-03
103,Kirghizistan,AFC,1206,2025-04-03
50,Cameroun,CAF,1466,2025-04-03
26,Australie,AFC,1555,2025-04-03
27,Turquie,UEFA,1551,2025-04-03
28,Suède,UEFA,1536,2025-04-03
29,Pays de Galles,UEFA,1536,2025-04-03
30,Canada,CONCACAF,1532,2025-04-03
31,Serbie,UEFA,1524,2025-04-03
32,Égypte,CAF,1519,2025-04-03
33,Panama,CONCACAF,1518,2025-04-03
34,Pologne,UEFA,1517,2025-04-03
35,Russie,UEFA,1516,2025-04-03
25,Ukraine,UEFA,1560,2025-04-03
36,Algérie,CAF,1507,2025-04-03
38,Norvège,UEFA,1497,2025-04-03
39,Tchéquie,UEFA,1491,2025-04-03
40,Grèce,UEFA,1490,2025-04-03
41,Côte d'Ivoire,CAF,1487,2025-04-03
42,Pérou,CONMEBOL,1483,2025-04-03
43,Nigéria,CAF,1481,2025-04-03
44,Écosse,UEFA,1480,2025-04-03
45,Roumanie,UEFA,1479,2025-04-03
46,Slovaquie,UEFA,1478,2025-04-03
47,Venezuela,CONMEBOL,1477,2025-04-03
37,Hongrie,UEFA,1503,2025-04-03
24,Équateur,CONMEBOL,1568,2025-04-03
23,Corée du Sud,AFC,1575,2025-04-03
22,Autriche,UEFA,1580,2025-04-03
209,Anguilla,CONCACAF,769,2025-04-03
210,Saint-Marin,UEFA,741,2025-04-03
1,Argentine,CONMEBOL,1886,2025-04-03
2,Espagne,UEFA,1855,2025-04-03
3,France,UEFA,1853,2025-04-03
4,Angleterre,UEFA,1819,2025-04-03
5,Brésil,CONMEBOL,1776,2025-04-03
6,Pays-Bas,UEFA,1752,2025-04-03
7,Portugal,UEFA,1750,2025-04-03
8,Belgique,UEFA,1736,2025-04-03
9,Italie,UEFA,1718,2025-04-03
10,Allemagne,UEFA,1717,2025-04-03
11,Croatie,UEFA,1699,2025-04-03
12,Maroc,CAF,1694,2025-04-03
13,Uruguay,CONMEBOL,1679,2025-04-03
